# Anki 导入用（制表符分隔）
# 日语\t读音\t中文\t词性\t例句\t例句中文\t分类
# === N5 核心词 ===
こんにちは	こんにちは	你好	挨拶	こんにちは、元気ですか？	你好，精神好吗？	N5挨拶
ありがとう	ありがとう	谢谢	挨拶	ありがとうございます	谢谢	N5挨拶
すみません	すみません	对不起/打扰了	挨拶	すみません、駅はどこですか？	不好意思，车站在哪？	N5挨拶
おはよう	おはよう	早上好	挨拶	おはようございます	早上好	N5挨拶
さようなら	さようなら	再见	挨拶	さようなら、また明日	再见，明天见	N5挨拶
はい	はい	是的	応答	はい、そうです	是的，就是这样	N5応答
いいえ	いいえ	不是	応答	いいえ、違います	不，不是的	N5応答
私	わたし	我	代名詞	私は会社員です	我是公司职员	N5代名詞
あなた	あなた	你	代名詞	あなたの名前は？	你叫什么名字？	N5代名詞
友達	ともだち	朋友	名詞	私の友達です	是我的朋友	N5名詞
先生	せんせい	老师	名詞	先生に質問があります	我有问题问老师	N5名詞
学校	がっこう	学校	名詞	学校に行きます	去学校	N5名詞
仕事	しごと	工作	名詞	仕事が忙しい	工作很忙	N5名詞
食べる	たべる	吃	動詞	ご飯を食べます	吃饭	N5動詞
飲む	のむ	喝	動詞	水を飲みます	喝水	N5動詞
行く	いく	去	動詞	日本に行きたい	想去日本	N5動詞
来る	くる	来	動詞	友達が来ます	朋友要来	N5動詞
見る	みる	看	動詞	テレビを見ます	看电视	N5動詞
聞く	きく	听/问	動詞	音楽を聞きます	听音乐	N5動詞
話す	はなす	说	動詞	日本語を話します	说日语	N5動詞
読む	よむ	读	動詞	本を読みます	读书	N5動詞
書く	かく	写	動詞	手紙を書きます	写信	N5動詞
買う	かう	买	動詞	本を買います	买书	N5動詞
大きい	おおきい	大的	形容詞	大きい犬	大狗	N5形容詞
小さい	ちいさい	小的	形容詞	小さい猫	小猫	N5形容詞
いい	いい	好的	形容詞	いい天気ですね	好天气呢	N5形容詞
悪い	わるい	坏的	形容詞	悪い人	坏人	N5形容詞
新しい	あたらしい	新的	形容詞	新しいスマホ	新手机	N5形容詞
暑い	あつい	热的	形容詞	今日は暑いです	今天很热	N5形容詞
寒い	さむい	冷的	形容詞	冬は寒いです	冬天很冷	N5形容詞
楽しい	たのしい	快乐的	形容詞	旅行は楽しいです	旅行很快乐	N5形容詞
嬉しい	うれしい	高兴的	形容詞	プレゼントをもらって嬉しい	收到礼物很开心	N5形容詞
美味しい	おいしい	好吃的	形容詞	このラーメンは美味しい	这碗拉面很好吃	N5形容詞
恐い	こわい	可怕的	形容詞	その映画は恐い	那部电影很可怕	N5形容詞

# === N4 核心词 ===
頑張る	がんばる	加油/努力	動詞	明日も頑張ります	明天也加油	N4動詞
始める	はじめる	开始	動詞	勉強を始めます	开始学习	N4動詞
終わる	おわる	结束	動詞	仕事が終わりました	工作结束了	N4動詞
教える	おしえる	教	動詞	日本語を教えてください	请教我日语	N4動詞
覚える	おぼえる	记住	動詞	単語を覚えます	记单词	N4動詞
考える	かんがえる	思考	動詞	よく考えます	好好思考	N4動詞
決める	きめる	决定	動詞	計画を決めます	决定计划	N4動詞
間に合う	まにあう	赶得上	動詞	電車に間に合いました	赶上了电车	N4動詞
大事	だいじ	重要的	形容動詞	これは大事なことです	这是重要的事	N4形容動詞
大丈夫	だいじょうぶ	没关系	形容動詞	大丈夫ですか？	没关系吗/你还好吗？	N4形容動詞
必要	ひつよう	必要	形容動詞	必要ありません	不需要	N4形容動詞
準備	じゅんび	准备	名詞	準備はいいですか？	准备好了吗？	N4名詞
経験	けいけん	经验	名詞	いい経験になりました	成为了好的经验	N4名詞
自信	じしん	自信	名詞	自信があります	有信心	N4名詞

# === 动漫常用语（通用）===
やばい	やばい	糟糕/厉害	スラング	やばい！遅刻する！	糟糕！要迟到了！	アニメ
すげえ	すげえ	好厉害	スラング	すげえ！かっこいい！	好厉害！好帅！	アニメ
やった	やった	做到了！	感動	やった！勝った！	做到了！赢了！	アニメ
ちょっと待て	ちょっとまて	等一下	命令	ちょっと待て！	等一下！	アニメ
うるさい	うるさい	吵死了	迷惑	うるさい！静かにしろ！	吵死了！安静点！	アニメ
馬鹿	ばか	笨蛋	罵倒	この馬鹿！	你这个笨蛋！	アニメ
すごい	すごい	了不起	感嘆	すごい才能だ	了不起的才能	アニメ
なるほど	なるほど	原来如此	理解	なるほど、そういうことか	原来如此，是这样啊	アニメ
信じられない	しんじられない	难以置信	驚き	信じられない！	难以置信！	アニメ
助けて	たすけて	救命	緊急	助けてください！	救命！	アニメ
逃げろ	にげろ	快逃	命令	逃げろ！危ない！	快逃！危险！	アニメ
やめろ	やめろ	住手	命令	やめろ！その手を離せ！	住手！放开那只手！	アニメ

# === JoJo の奇妙な冒険 名セリフ ===
無駄無駄無駄	むだむだむだ	没用没用没用	DIO	無駄無駄無駄無駄ァ！	没用没用没用没用啊！	ジョジョ
オラオラオラ	おらおらおら	欧拉欧拉欧拉	承太郎	オラオラオラオラオラ！	欧拉欧拉欧拉欧拉欧拉！	ジョジョ
ロードローラーだ	ろーどろーらーだ	压路机来了	DIO	ロードローラーだッ！	压路机来了！	ジョジョ
星の白金	ほしのプラチナ	白金之星	スタンド	スタープラチナ！	白金之星！	ジョジョ
世界	ザ・ワールド	世界	スタンド	ザ・ワールド！時よ止まれ！	世界！时间停止吧！	ジョジョ
やれやれだぜ	やれやれだぜ	真是的	承太郎	やれやれだぜ…	真是的…（承太郎经典台词）	ジョジョ
お前はもう死んでいる	おまえはもうしんでいる	你已经死了	岸辺露伴	お前はもう死んでいる	你已经死了	ジョジョ
いいだろう、承知した	いいだろう、しょうちした	好吧，我答应了	承太郎	いいだろう、承知した	好吧，我答应了	ジョジョ
だが断る	だがことわる	但是我拒绝	岸辺露伴	「助けてくれ」…だが断る	「救救我」…但是我拒绝	ジョジョ
ゴゴゴゴ	ゴゴゴゴ	ゴゴゴゴ（拟声）	効果音	ゴゴゴゴ…	（紧张对峙的拟声）	ジョジョ
ドドドド	ドドドド	ドドドド（拟声）	効果音	ドドドド…	（震撼场面的拟声）	ジョジョ
Stand	スタンド	替身	用語	お前のスタンドは何だ？	你的替身是什么？	ジョジョ
スタンド使い	スタンドつかい	替身使者	用語	同じタイプのスタンド使いだ	是同类型的替身使者	ジョジョ
矢	や	箭	用語	スタンドの矢だ	是替身之箭	ジョジョ
波紋	はもん	波纹	用語	波紋疾走！	波纹疾走！	ジョジョ
悪魔を倒した者	あくまをたおしたもの	打败恶魔的人	名言	悪魔を倒した者が更なる悪魔を呼び寄せる	打败恶魔的人会引来更多恶魔	ジョジョ
人間讃歌	にんげんさんか	人类赞歌	名言	人間讃歌こそ「勇気」の讃歌である	人类赞歌就是勇气的赞歌	ジョジョ
